"Institution"	"EZB-Id"	"Sigel"
"Badische Landesbibliothek Karlsruhe"	"BLB"	"DE-31"
"Bayerische Staatsbibliothek München"	"BSB"	"DE-12"
"Bibliothek der Pädagogischen Hochschule Freiburg"	"PHBFR"	"DE-Frei129"
"Bibliothek des Deutschen Forums für Kunstgeschichte Paris"	"DFK"	"DE-Y7"
"Bibliothek des DHI Moskau"	"DHIM"	""
"Bibliothekssystem der Universität Mainz"	"UBMZ"	"DE-77"
"BIS - Bibliotheks- und Informationssystem der Universität Oldenburg"	"BISOL"	"DE-715"
"Deutsches Archäologisches Institut, Abteilung Rom - Bibliothek"	"DAIRO"	"DE-Y1"
"Deutsches Archäologisches Institut (DAI), Abteilung Istanbul"	"DAIIN"	""
"Deutsches Archäologisches Institut (DAI), Abteilung Madrid"	"DAIMA"	""
"Deutsches Archäologisches Institut (DAI), Aussenstelle Damaskus der Orient-Abteilung"	"DAIDA"	""
"Deutsches Archäologisches Institut (DAI), Außenstelle Sana'a der Orient-Abteilung"	"DAISA"	""
"Deutsches Archäologisches Institut (DAI), Eurasien-Abteilung"	"DAIEA"	"DE-B523"
"Deutsches Archäologisches Institut (DAI), Kommission für Alte Geschichte und Epigraphik München (AEK)"	"DAIAE"	"DE-M491"
"Deutsches Archäologisches Institut (DAI), Kommission für Archäologie Außereuropäischer Kulturen (KAAK) Bonn"	"DAIBO"	"DE-Bo405"
"Deutsches Archäologisches Institut (DAI) Orientabteilung"	"DAIOA"	""
"Deutsches Archäologisches Institut (DAI), Römisch-Germanische Kommission (RGK)"	"DAIRG"	"DE-F36"
"Deutsches Archäologisches Institut (DAI), Zentrale Berlin"	"DAI"	"DE-B99"
"Deutsches Historisches Institut London"	"GHL"	""
"Deutsches Historisches Institut Paris"	"DHIP"	""
"Deutsches Historisches Institut Warschau"	"DHIW"	""
"FH Potsdam, Hochschulbibliothek"	"FHPO"	"DE-525"
"Forschungsstelle Amman am Deutschen Evangelischen Institut (DEI)"	"DAIAM"	""
"Forschungsstelle Jerusalem am Deutschen Evangelischen Institut (DEI)"	"DAIJE"	""
"Gottfried Wilhelm Leibniz Bibliothek - Niedersächsische Landesbibliothek"	"GWLB"	"DE-35"
"Hochschule Fresenius, Idstein"	"EFF"	"DE-1126"
"Hochschule für Gesundheit"	"HFG"	"DE-1866"
"Humboldt-Universität zu Berlin"	"UBHUB"	"DE-11-10"
"Institut für Deutsche Sprache (IDS)"	"IDS"	"DE-Mh39"
"IZUS / Universitätsbibliothek Stuttgart"	"UBS"	"DE-93"
"KIM Konstanz, IT- und Bibliotheksdienste"	"UBKO"	"DE-352"
"Landeskirchliche Bibliothek Bremen"	"LBBEK"	"DE-Bre4"
"Medienzentrum der Hochschule Darmstadt"	"FHDA"	"DE-Ds114"
"Niedersächsische Staats- und Universitätsbibliothek Göttingen"	"SUBGO"	"DE-7"
"Ruhr-Universität Bochum"	"RUBO"	"DE-294"
"Sächsische Landesbibliothek - Staats- und Universitätsbibliothek Dresden"	"SLUB"	"DE-14"
"Staatsbibliothek zu Berlin - Preußischer Kulturbesitz"	"SBBPK"	"DE-1a"
"Staats- und Universitätsbibliothek Hamburg und Fachbibliotheken"	"SUBHH"	"DE-18"
"Technische Informationsbibliothek (TIB)"	"UBTIB"	"DE-89"
"Thüringer Universitäts- und Landesbibliothek Jena"	"THULB"	"DE-27"
"Universität Marburg"	"UBMA"	"DE-4"
"Universitätsbibliothek Augsburg"	"UBA"	"DE-384"
"Universitätsbibliothek Bayreuth"	"UBBAY"	"DE-703"
"Universitätsbibliothek der Freien Universität Berlin"	"FUB"	"DE-188-e"
"Universitätsbibliothek Duisburg-Essen, Campus Duisburg"	"UBDU"	"DE-464"
"Universitätsbibliothek Duisburg-Essen"	"UGHE"	"DE-465"
"Universitätsbibliothek Eichstätt-Ingolstadt"	"UBE"	"DE-824"
"Universitätsbibliothek Erfurt / Forschungsbibliothek Gotha"	"UBERF"	"DE-547"
"Universitätsbibliothek Freiburg"	"UBFRE"	"DE-25"
"Universitätsbibliothek Greifswald"	"UBGRW"	"DE-9"
"Universitätsbibliothek Hagen"	"FUH"	"DE-708"
"Universitätsbibliothek Heidelberg"	"UBHE"	"DE-16"
"Universitätsbibliothek Kassel"	"UBKAS"	"DE-34"
"Universitätsbibliothek Kiel"	"UBK"	"DE-8"
"Universitätsbibliothek Leipzig"	"UBL"	"DE-15"
"Universitätsbibliothek Lüneburg"	"UBLUE"	"DE-Luen4"
"Universitätsbibliothek Mannheim"	"UBMAN"	"DE-180"
"Universitätsbibliothek Osnabrück"	"UBOS"	"DE-700"
"Universitätsbibliothek Potsdam"	"UBPO"	"DE-517"
"Universitätsbibliothek Rostock"	"UBRO"	"DE-28"
"Universitätsbibliothek Siegen"	"UBSI"	"DE-467"
"Universitätsbibliothek Tübingen"	"UBTUE"	"DE-21"
"Universitätsbibliothek Vechta"	"UBVE"	"DE-Va1"
"Universitätsbibliothek Wuppertal"	"UBWUP"	"DE-468"
"Universitätsbibliothek Würzburg"	"UBW"	"DE-20"
"Universitäts- und Landesbibliothek Bonn"	"ULBB"	"DE-5"
"Universitäts- und Landesbibliothek Düsseldorf"	"ULBD"	"DE-61"
"Universitäts- und Landesbibliothek Münster"	"ULBMS"	"DE-6"
"Württembergische Landesbibliothek Stuttgart"	"WLB"	"DE-24"
